# Seed dictionary: Hebrew name as printed on Winner forms -> canonical English name used
# by the sports data APIs. sport = FOOTBALL | BASKETBALL | ANY.
# Anything not listed here shows up in the UI as "unmatched" and can be mapped once
# via POST /api/admin/alias - that mapping is stored in team_alias and reused forever.
sport,hebrew,english
# --- Israeli football ---
FOOTBALL,מכבי תל אביב,Maccabi Tel Aviv
FOOTBALL,מכבי חיפה,Maccabi Haifa
FOOTBALL,הפועל באר שבע,Hapoel Beer Sheva
FOOTBALL,בית"ר ירושלים,Beitar Jerusalem
FOOTBALL,ביתר ירושלים,Beitar Jerusalem
FOOTBALL,הפועל תל אביב,Hapoel Tel Aviv
FOOTBALL,מכבי נתניה,Maccabi Netanya
FOOTBALL,בני סכנין,Bnei Sakhnin
FOOTBALL,מ.ס. אשדוד,FC Ashdod
FOOTBALL,אשדוד,FC Ashdod
FOOTBALL,הפועל חיפה,Hapoel Haifa
FOOTBALL,מכבי פתח תקווה,Maccabi Petah Tikva
FOOTBALL,הפועל פתח תקווה,Hapoel Petah Tikva
FOOTBALL,הפועל ירושלים,Hapoel Jerusalem
FOOTBALL,עירוני קרית שמונה,Ironi Kiryat Shmona
FOOTBALL,הפועל קרית שמונה,Ironi Kiryat Shmona
FOOTBALL,הפועל חדרה,Hapoel Hadera
FOOTBALL,מכבי בני ריינה,Maccabi Bnei Reineh
FOOTBALL,עירוני טבריה,Ironi Tiberias
FOOTBALL,הפועל רמת גן,Hapoel Ramat Gan
FOOTBALL,הפועל כפר סבא,Hapoel Kfar Saba
FOOTBALL,מכבי הרצליה,Maccabi Herzliya
FOOTBALL,הפועל נוף הגליל,Hapoel Nof HaGalil
FOOTBALL,מ.ס. כפר קאסם,Kafr Qasim
FOOTBALL,הפועל עפולה,Hapoel Afula
FOOTBALL,הפועל רעננה,Hapoel Raanana
FOOTBALL,הפועל ראשון לציון,Hapoel Rishon LeZion
FOOTBALL,שמשון תל אביב,Shimshon Tel Aviv
FOOTBALL,נבחרת ישראל,Israel
# --- England ---
FOOTBALL,מנצ'סטר סיטי,Manchester City
FOOTBALL,מנצ'סטר יונייטד,Manchester United
FOOTBALL,ליברפול,Liverpool
FOOTBALL,צ'לסי,Chelsea
FOOTBALL,ארסנל,Arsenal
FOOTBALL,טוטנהאם,Tottenham
FOOTBALL,ניוקאסל,Newcastle
FOOTBALL,אסטון וילה,Aston Villa
FOOTBALL,ווסטהאם,West Ham
FOOTBALL,וסטהאם,West Ham
FOOTBALL,ברייטון,Brighton
FOOTBALL,אברטון,Everton
FOOTBALL,פולהאם,Fulham
FOOTBALL,נוטינגהאם פורסט,Nottingham Forest
FOOTBALL,לסטר,Leicester
FOOTBALL,קריסטל פאלאס,Crystal Palace
FOOTBALL,וולבס,Wolves
FOOTBALL,וולברהמפטון,Wolves
FOOTBALL,ברנטפורד,Brentford
FOOTBALL,בורנמות',Bournemouth
FOOTBALL,לידס,Leeds
FOOTBALL,סאות'המפטון,Southampton
FOOTBALL,איפסוויץ',Ipswich
FOOTBALL,נבחרת אנגליה,England
# --- Spain ---
FOOTBALL,ריאל מדריד,Real Madrid
FOOTBALL,ברצלונה,Barcelona
FOOTBALL,אתלטיקו מדריד,Atletico Madrid
FOOTBALL,סביליה,Sevilla
FOOTBALL,ולנסיה,Valencia
